# Wavelength	Flux_normalized	Order
3790.74000000 0.36542924 5
3790.77000000 0.54999545 5
3790.80000000 0.55570271 5
3790.83000000 0.30173722 5
3790.86000000 0.35201725 5
3790.89000000 0.34852887 5
3790.92000000 -0.65708242 5
3790.95000000 0.35913574 5
3790.98000000 1.91570273 5
3791.01000000 2.46597646 5
3791.04000000 1.09496679 5
3791.07000000 -1.85467295 5
3791.10000000 0.39764868 5
3791.13000000 0.95973162 5
3791.16000000 -0.31862273 5
3791.19000000 -0.86703112 5
3791.22000000 -1.29837498 5
3791.25000000 0.73437011 5
3791.28000000 1.46386610 5
3791.31000000 0.12721910 5
3791.34000000 -0.57264013 5
3791.37000000 0.44244839 5
3791.40000000 1.00448789 5
3791.43000000 0.98273653 5
3791.46000000 0.94965140 5
3791.49000000 1.98354624 5
3791.52000000 1.47009736 5
3791.55000000 0.85742929 5
3791.58000000 0.76088203 5
3791.61000000 1.10533736 5
3791.64000000 0.61208925 5
3791.67000000 0.51798985 5
3791.70000000 0.31042587 5
3791.73000000 0.18476498 5
3791.76000000 1.02609176 5
3791.79000000 0.75676531 5
3791.82000000 0.28612173 5
3791.85000000 0.55214777 5
3791.88000000 1.37614884 5
3791.91000000 0.14991103 5
3791.94000000 0.04959958 5
3791.97000000 0.48879960 5
3792.00000000 0.62098570 5
3792.03000000 -0.11546584 5
3792.06000000 -0.35013827 5
3792.09000000 -0.36755756 5
3792.12000000 0.72282491 5
3792.15000000 2.17599394 5
3792.18000000 1.80857898 5
3792.21000000 1.33436967 5
3792.24000000 1.54836195 5
3792.27000000 1.62134624 5
3792.30000000 1.08794601 5
3792.33000000 0.99662650 5
3792.36000000 0.95416970 5
3792.39000000 0.39844165 5
3792.42000000 0.13631493 5
3792.45000000 1.13545882 5
3792.48000000 2.42199254 5
3792.51000000 1.47911368 5
3792.54000000 0.71405289 5
3792.57000000 1.31064573 5
3792.60000000 2.76492476 5
3792.63000000 2.50876778 5
3792.66000000 1.87724136 5
3792.69000000 1.35069987 5
3792.72000000 0.91195488 5
3792.75000000 -0.08907992 5
3792.78000000 0.70608029 5
3792.81000000 0.91850656 5
3792.84000000 0.74868863 5
3792.87000000 0.84432728 5
3792.90000000 -0.67378689 5
3792.93000000 0.20060608 5
3792.96000000 1.30514826 5
3792.99000000 1.42391389 5
3793.02000000 0.65465981 5
3793.05000000 1.63949866 5
3793.08000000 0.68638740 5
3793.11000000 0.37396308 5
3793.14000000 1.50626682 5
3793.17000000 0.90367086 5
3793.20000000 0.45565102 5
3793.23000000 0.88440243 5
3793.26000000 1.07855220 5
3793.29000000 0.17564286 5
3793.32000000 -0.06531279 5
3793.35000000 -0.11237769 5
3793.38000000 0.02912666 5
3793.41000000 0.02451684 5
3793.44000000 -0.37752222 5
3793.47000000 0.55955565 5
3793.50000000 0.67371735 5
3793.53000000 0.39816118 5
3793.56000000 0.20674381 5
3793.59000000 0.22934837 5
3793.62000000 -0.14835681 5
3793.65000000 -0.54482586 5
3793.68000000 0.15292151 5
3793.71000000 1.83574633 5
3793.74000000 1.32187490 5
3793.77000000 1.30274749 5
3793.80000000 1.56453922 5
3793.83000000 1.41697243 5
3793.86000000 0.48931800 5
3793.89000000 0.91350558 5
3793.92000000 0.71073746 5
3793.95000000 0.73653291 5
3793.98000000 1.07379572 5
3794.01000000 1.04326437 5
3794.04000000 0.99697324 5
3794.07000000 1.38397470 5
3794.10000000 1.69197043 5
3794.13000000 1.67041345 5
3794.16000000 1.75358457 5
3794.19000000 0.98636234 5
3794.22000000 1.22068016 5
3794.25000000 1.78806497 5
3794.28000000 1.55643476 5
3794.31000000 0.62023832 5
3794.34000000 1.05065953 5
3794.37000000 0.98101420 5
3794.40000000 0.35595458 5
3794.43000000 0.20612803 5
3794.46000000 0.56681572 5
3794.49000000 1.42187847 5
3794.52000000 1.51921265 5
3794.55000000 1.17957183 5
3794.58000000 2.23265117 5
3794.61000000 0.47706845 5
3794.64000000 0.73598424 5
3794.67000000 1.46746954 5
3794.70000000 1.35427202 5
3794.73000000 2.25078229 5
3794.76000000 1.30781567 5
3794.79000000 0.86881457 5
3794.82000000 1.03088453 5
3794.85000000 1.07274128 5
3794.88000000 0.74169023 5
3794.91000000 1.30815663 5
3794.94000000 1.28487200 5
3794.97000000 0.99459984 5
3795.00000000 1.74237854 5
3795.03000000 1.78512112 5
3795.06000000 1.46436579 5
3795.09000000 1.15286057 5
3795.12000000 1.15106433 5
