# Wavelength	Flux_normalized	Order
3791.34000000 0.72687209 5
3791.37000000 0.82798857 5
3791.40000000 0.52414648 5
3791.43000000 0.87552410 5
3791.46000000 1.11877274 5
3791.49000000 1.32454365 5
3791.52000000 1.15830101 5
3791.55000000 0.55652492 5
3791.58000000 0.46016787 5
3791.61000000 0.37336108 5
3791.64000000 0.44928853 5
3791.67000000 0.51131163 5
3791.70000000 0.27773124 5
3791.73000000 0.26241077 5
3791.76000000 0.05664739 5
3791.79000000 0.15395523 5
3791.82000000 0.65748201 5
3791.85000000 1.00207042 5
3791.88000000 0.65642774 5
3791.91000000 0.36980981 5
3791.94000000 0.05090999 5
3791.97000000 -0.37372668 5
3792.00000000 -0.11519109 5
3792.03000000 -0.11965619 5
3792.06000000 0.03873846 5
3792.09000000 0.23000091 5
3792.12000000 0.04836103 5
3792.15000000 0.04347681 5
3792.18000000 0.41468801 5
3792.21000000 0.79202676 5
3792.24000000 0.83468083 5
3792.27000000 0.39310308 5
3792.30000000 -0.10446303 5
3792.33000000 0.18279827 5
3792.36000000 0.85447340 5
3792.39000000 1.23732295 5
3792.42000000 1.11990191 5
3792.45000000 1.05875162 5
3792.48000000 1.25037691 5
3792.51000000 1.62678235 5
3792.54000000 1.92078761 5
3792.57000000 1.71026364 5
3792.60000000 1.52094748 5
3792.63000000 1.41053330 5
3792.66000000 1.37815792 5
3792.69000000 1.40559672 5
3792.72000000 0.68509648 5
3792.75000000 0.29556768 5
3792.78000000 0.29961503 5
3792.81000000 0.47063540 5
3792.84000000 0.69257635 5
3792.87000000 1.12663306 5
3792.90000000 1.27584986 5
3792.93000000 0.98488789 5
3792.96000000 0.48467934 5
3792.99000000 1.03097875 5
3793.02000000 0.75672691 5
3793.05000000 0.66205622 5
3793.08000000 1.08869787 5
3793.11000000 1.15074862 5
3793.14000000 0.93108179 5
3793.17000000 0.59460473 5
3793.20000000 0.34717335 5
3793.23000000 0.37467592 5
3793.26000000 0.82423093 5
3793.29000000 0.38858829 5
3793.32000000 0.37563475 5
3793.35000000 0.54840677 5
3793.38000000 0.10312131 5
3793.41000000 0.30907771 5
3793.44000000 0.34240273 5
3793.47000000 0.26822285 5
3793.50000000 0.21472942 5
3793.53000000 0.26422985 5
3793.56000000 -0.02284825 5
3793.59000000 0.39168258 5
3793.62000000 0.49733800 5
3793.65000000 -0.12734202 5
3793.68000000 0.37021432 5
3793.71000000 0.41642677 5
3793.74000000 0.43426955 5
3793.77000000 0.59855408 5
3793.80000000 0.86940530 5
3793.83000000 0.78509612 5
3793.86000000 0.87792308 5
3793.89000000 0.93651783 5
3793.92000000 0.84361475 5
3793.95000000 0.65906967 5
3793.98000000 0.94526373 5
3794.01000000 1.09855563 5
3794.04000000 1.12536169 5
3794.07000000 1.13911254 5
3794.10000000 1.24010890 5
3794.13000000 0.88226259 5
3794.16000000 1.03319843 5
3794.19000000 1.34136234 5
3794.22000000 1.24950800 5
3794.25000000 1.19604023 5
3794.28000000 0.92517180 5
3794.31000000 0.75974527 5
3794.34000000 0.83371585 5
3794.37000000 1.06016976 5
3794.40000000 0.87948309 5
3794.43000000 0.73886642 5
3794.46000000 0.68091347 5
3794.49000000 0.73224889 5
3794.52000000 0.94118443 5
3794.55000000 0.95097834 5
3794.58000000 1.33466868 5
3794.61000000 1.50437207 5
3794.64000000 1.16201579 5
3794.67000000 1.41262745 5
3794.70000000 1.59914618 5
3794.73000000 1.43339482 5
3794.76000000 1.01812460 5
3794.79000000 0.67245744 5
3794.82000000 0.75147246 5
3794.85000000 0.81018702 5
3794.88000000 0.83034026 5
3794.91000000 0.83905954 5
3794.94000000 0.89172401 5
3794.97000000 1.20955973 5
3795.00000000 1.38685396 5
3795.03000000 1.36027605 5
3795.06000000 1.24747697 5
3795.09000000 1.33574123 5
3795.12000000 1.19214160 5
3795.15000000 0.94324275 5
3795.18000000 0.77533658 5
3795.21000000 0.77934373 5
3795.24000000 0.71187691 5
3795.27000000 0.45786919 5
3795.30000000 0.34701127 5
3795.33000000 0.51960231 5
3795.36000000 0.88863690 5
3795.39000000 0.81390757 5
3795.42000000 0.96538237 5
3795.45000000 1.05082350 5
3795.48000000 0.99164804 5
3795.51000000 0.99718058 5
3795.54000000 0.72292579 5
3795.57000000 0.86860061 5
3795.60000000 1.04919164 5
3795.63000000 0.97161200 5
3795.66000000 0.92285672 5
3795.69000000 1.03675479 5
3795.72000000 1.24259153 5
3795.75000000 1.35910723 5
3795.78000000 1.33936306 5
3795.81000000 1.72906612 5
3795.84000000 1.57087962 5
3795.87000000 1.09771947 5
3795.90000000 0.67631354 5
3795.93000000 0.60734269 5
3795.96000000 0.42339350 5
3795.99000000 0.57782442 5
3796.02000000 0.85447629 5
3796.05000000 1.01869184 5
3796.08000000 0.93988577 5
3796.11000000 1.10571500 5
3796.14000000 0.91968344 5
3796.17000000 0.74455651 5
3796.20000000 0.81342633 5
3796.23000000 0.75918867 5
3796.26000000 1.08713954 5
3796.29000000 1.18612214 5
3796.32000000 0.97497503 5
3796.35000000 0.67551796 5
3796.38000000 0.79810055 5
3796.41000000 0.81389253 5
3796.44000000 0.78525041 5
3796.47000000 0.75398300 5
3796.50000000 0.69786797 5
3796.53000000 0.29012638 5
3796.56000000 0.61418558 5
3796.59000000 0.77459091 5
3796.62000000 0.55961881 5
3796.65000000 0.58697986 5
3796.68000000 0.59191673 5
3796.71000000 0.53926383 5
3796.74000000 0.41513852 5
3796.77000000 0.26383727 5
3796.80000000 0.20793491 5
3796.83000000 0.56873046 5
3796.86000000 0.45918641 5
3796.89000000 0.18417787 5
3796.92000000 0.20067982 5
3796.95000000 0.28347962 5
3796.98000000 0.35125932 5
3797.01000000 0.39405964 5
3797.04000000 0.31605285 5
3797.07000000 0.09748120 5
3797.10000000 0.25887628 5
3797.13000000 0.66194350 5
3797.16000000 0.78054813 5
3797.19000000 0.67622755 5
3797.22000000 0.83313030 5
3797.25000000 0.79896591 5
3797.28000000 0.60291548 5
3797.31000000 0.66048702 5
3797.34000000 0.94082716 5
3797.37000000 0.81326335 5
3797.40000000 0.97938607 5
3797.43000000 0.85868503 5
3797.46000000 0.83867491 5
3797.49000000 1.15775991 5
3797.52000000 1.26660640 5
3797.55000000 1.07570027 5
3797.58000000 0.96197967 5
3797.61000000 0.87123121 5
3797.64000000 0.69405842 5
3797.67000000 0.74739006 5
3797.70000000 0.78354038 5
3797.73000000 0.52733746 5
3797.76000000 0.30790573 5
3797.79000000 0.59981692 5
3797.82000000 0.57501810 5
3797.85000000 0.43455186 5
3797.88000000 0.33753308 5
3797.91000000 0.33887901 5
3797.94000000 0.37542008 5
3797.97000000 0.25657668 5
3798.00000000 0.12073936 5
3798.03000000 0.11769830 5
3798.06000000 0.24226092 5
3798.09000000 0.27652204 5
3798.12000000 0.19121483 5
3798.15000000 0.33601291 5
3798.18000000 0.58554200 5
3798.21000000 0.67538275 5
3798.24000000 0.34049265 5
3798.27000000 0.51906829 5
3798.30000000 0.43513590 5
3798.33000000 0.26387535 5
3798.36000000 0.37622679 5
3798.39000000 0.45054307 5
3798.42000000 0.58012835 5
3798.45000000 0.78378544 5
3798.48000000 0.95199894 5
3798.51000000 0.96008002 5
3798.54000000 1.02442745 5
3798.57000000 0.74114435 5
3798.60000000 0.83308215 5
3798.63000000 1.27300626 5
3798.66000000 1.36834472 5
3798.69000000 1.28082125 5
3798.72000000 1.22930242 5
3798.75000000 1.16422537 5
3798.78000000 1.08404347 5
3798.81000000 1.10656800 5
3798.84000000 1.49123262 5
3798.87000000 1.74649735 5
3798.90000000 1.68891122 5
3798.93000000 1.43498312 5
3798.96000000 1.48295988 5
3798.99000000 1.33259827 5
3799.02000000 1.23126619 5
3799.05000000 1.24796653 5
3799.08000000 1.34878903 5
3799.11000000 1.39619404 5
3799.14000000 1.47926968 5
3799.17000000 1.60806777 5
3799.20000000 1.87232067 5
3799.23000000 2.25484319 5
3799.26000000 2.19208078 5
3799.29000000 1.62281966 5
3799.32000000 1.49226222 5
3799.35000000 1.85511888 5
3799.38000000 2.10369888 5
3799.41000000 1.79603020 5
3799.44000000 1.33750744 5
3799.47000000 1.14172427 5
3799.50000000 1.14429386 5
3799.53000000 0.89853807 5
3799.56000000 0.85356703 5
3799.59000000 0.96178326 5
3799.62000000 1.02660069 5
3799.65000000 1.08335402 5
3799.68000000 1.45323339 5
3799.71000000 1.29870315 5
3799.74000000 1.16055810 5
3799.77000000 1.02378970 5
3799.80000000 0.89497753 5
3799.83000000 1.03362925 5
3799.86000000 1.07147177 5
3799.89000000 1.17921544 5
3799.92000000 1.22124172 5
3799.95000000 1.07681131 5
3799.98000000 0.90313384 5
3800.01000000 1.12664122 5
3800.04000000 1.04849927 5
3800.07000000 0.78873521 5
3800.10000000 0.73029596 5
3800.13000000 0.79283066 5
3800.16000000 0.71797274 5
3800.19000000 0.73329794 5
3800.22000000 0.79648692 5
