# Wavelength	Flux_normalized	Order
3790.62000000 0.62359169 5
3790.65000000 0.74092309 5
3790.68000000 0.25675065 5
3790.71000000 0.34877934 5
3790.74000000 0.24405887 5
3790.77000000 -0.48550949 5
3790.80000000 0.02894460 5
3790.83000000 0.20965871 5
3790.86000000 0.69635567 5
3790.89000000 1.08719405 5
3790.92000000 0.67747236 5
3790.95000000 1.11165849 5
3790.98000000 1.34996187 5
3791.01000000 1.13931244 5
3791.04000000 0.64011975 5
3791.07000000 0.41817166 5
3791.10000000 0.79617399 5
3791.13000000 0.23326559 5
3791.16000000 -0.03074008 5
3791.19000000 0.94377978 5
3791.22000000 0.97000108 5
3791.25000000 0.59596948 5
3791.28000000 0.42300515 5
3791.31000000 0.60731925 5
3791.34000000 0.95778795 5
3791.37000000 1.00384264 5
3791.40000000 1.41346594 5
3791.43000000 1.43079572 5
3791.46000000 1.17045621 5
3791.49000000 1.98299879 5
3791.52000000 1.78524318 5
3791.55000000 1.52959418 5
3791.58000000 1.46549183 5
3791.61000000 1.47388959 5
3791.64000000 0.93606695 5
3791.67000000 0.98213863 5
3791.70000000 0.83544717 5
3791.73000000 0.52301216 5
3791.76000000 0.55196147 5
3791.79000000 1.11585669 5
3791.82000000 0.39400567 5
3791.85000000 0.30366667 5
3791.88000000 0.93655740 5
3791.91000000 -0.23744184 5
3791.94000000 0.27152806 5
3791.97000000 0.50868960 5
3792.00000000 0.21797327 5
3792.03000000 -0.18095038 5
3792.06000000 0.27178374 5
3792.09000000 0.82930196 5
3792.12000000 0.88042482 5
3792.15000000 0.68429006 5
3792.18000000 0.84822032 5
3792.21000000 0.92085562 5
3792.24000000 1.14207295 5
3792.27000000 1.03505302 5
3792.30000000 0.63830626 5
3792.33000000 0.61822602 5
3792.36000000 0.90794006 5
3792.39000000 1.01138600 5
3792.42000000 0.93355252 5
3792.45000000 0.88509720 5
3792.48000000 1.23139293 5
3792.51000000 1.52728780 5
3792.54000000 1.86461072 5
3792.57000000 1.88969924 5
3792.60000000 1.29219709 5
3792.63000000 0.99623807 5
3792.66000000 1.38899761 5
3792.69000000 1.19139284 5
3792.72000000 0.41817029 5
3792.75000000 0.37741213 5
3792.78000000 0.74767014 5
3792.81000000 0.71259299 5
3792.84000000 0.73430359 5
3792.87000000 0.97106973 5
3792.90000000 0.51621589 5
3792.93000000 0.87702428 5
3792.96000000 1.01141954 5
3792.99000000 0.77919689 5
3793.02000000 0.49560945 5
3793.05000000 0.71490802 5
