# Wavelength	Flux_normalized	Order
3791.19000000 1.96767140 5
3791.22000000 0.00262404 5
3791.25000000 -1.26469884 5
3791.28000000 -0.68707792 5
3791.31000000 -0.28145105 5
3791.34000000 -1.22458580 5
3791.37000000 -3.17043646 5
3791.40000000 -2.39269788 5
3791.43000000 1.59400444 5
3791.46000000 -1.23437913 5
3791.49000000 -0.30145618 5
3791.52000000 -0.05667528 5
3791.55000000 -0.01871952 5
3791.58000000 2.26956721 5
3791.61000000 2.03491773 5
3791.64000000 0.47700488 5
3791.67000000 0.51433908 5
3791.70000000 1.86548877 5
3791.73000000 0.22009347 5
3791.76000000 -1.62558157 5
3791.79000000 -0.21343196 5
3791.82000000 1.50651537 5
3791.85000000 0.55273313 5
3791.88000000 -0.91236628 5
3791.91000000 1.37123677 5
3791.94000000 1.51489197 5
3791.97000000 -0.52944244 5
3792.00000000 -1.14040130 5
3792.03000000 1.42567965 5
3792.06000000 2.11337606 5
3792.09000000 0.66166882 5
3792.12000000 -0.59109857 5
3792.15000000 2.75625072 5
3792.18000000 1.16682390 5
3792.21000000 2.48350513 5
3792.24000000 3.65328159 5
3792.27000000 1.63566138 5
3792.30000000 2.42431281 5
3792.33000000 1.57397989 5
3792.36000000 1.58051981 5
3792.39000000 2.46828358 5
3792.42000000 2.86012439 5
3792.45000000 3.49319244 5
3792.48000000 3.31648487 5
3792.51000000 2.14585228 5
3792.54000000 0.68448694 5
3792.57000000 0.54863373 5
3792.60000000 2.53355609 5
3792.63000000 2.43937332 5
3792.66000000 2.03809594 5
3792.69000000 2.92342508 5
3792.72000000 1.65660325 5
3792.75000000 -2.38648869 5
3792.78000000 -1.83779220 5
3792.81000000 1.88547738 5
3792.84000000 2.81140804 5
3792.87000000 0.30540196 5
3792.90000000 1.47473994 5
3792.93000000 3.14654834 5
3792.96000000 3.21808434 5
3792.99000000 2.36265947 5
3793.02000000 4.98050975 5
3793.05000000 2.16744245 5
3793.08000000 -0.34845003 5
3793.11000000 1.86046136 5
3793.14000000 1.31723691 5
3793.17000000 2.31244847 5
3793.20000000 1.91066676 5
3793.23000000 0.45759026 5
3793.26000000 -0.11228408 5
3793.29000000 1.21497436 5
3793.32000000 0.09136805 5
3793.35000000 0.56154165 5
3793.38000000 2.49433291 5
3793.41000000 1.37605820 5
3793.44000000 1.37939004 5
3793.47000000 0.38762297 5
3793.50000000 -0.68690916 5
3793.53000000 -1.18961199 5
3793.56000000 -2.17894130 5
3793.59000000 0.09909593 5
3793.62000000 0.27036228 5
3793.65000000 -0.17010684 5
3793.68000000 1.56313358 5
3793.71000000 1.08860237 5
3793.74000000 -0.46954596 5
3793.77000000 -0.29802818 5
3793.80000000 0.43947010 5
3793.83000000 -1.81144808 5
3793.86000000 -0.44099275 5
3793.89000000 -0.45904420 5
3793.92000000 -0.51304920 5
3793.95000000 0.19420470 5
3793.98000000 0.11993930 5
3794.01000000 -0.39622451 5
3794.04000000 0.88839524 5
3794.07000000 2.17230080 5
3794.10000000 1.32523562 5
3794.13000000 -0.74594532 5
3794.16000000 0.75357892 5
3794.19000000 2.29565126 5
3794.22000000 2.57891537 5
3794.25000000 2.11728393 5
3794.28000000 2.42872914 5
3794.31000000 1.75819958 5
3794.34000000 1.39942068 5
3794.37000000 1.63737446 5
3794.40000000 1.28900863 5
3794.43000000 0.76822103 5
3794.46000000 1.01706475 5
3794.49000000 0.62185411 5
3794.52000000 -0.19768803 5
3794.55000000 3.45143770 5
3794.58000000 2.41602830 5
3794.61000000 1.77882063 5
3794.64000000 2.19857046 5
3794.67000000 2.40756279 5
3794.70000000 1.91439710 5
3794.73000000 2.32423565 5
3794.76000000 1.34380008 5
3794.79000000 -0.34968079 5
3794.82000000 0.09621614 5
3794.85000000 1.18787800 5
3794.88000000 1.49908954 5
3794.91000000 1.53170863 5
3794.94000000 1.41404089 5
3794.97000000 0.36847282 5
3795.00000000 2.18513718 5
3795.03000000 1.81932598 5
3795.06000000 0.84731129 5
3795.09000000 1.34700641 5
3795.12000000 1.30052779 5
3795.15000000 1.53886807 5
3795.18000000 0.44974376 5
3795.21000000 0.02732725 5
3795.24000000 2.36522902 5
3795.27000000 -0.47267074 5
3795.30000000 0.75006604 5
3795.33000000 1.28622544 5
