# Wavelength	Flux_normalized	Order
3790.92000000 8.10753592 5
3790.95000000 8.36888392 5
3790.98000000 1.30200694 5
3791.01000000 -8.91846119 5
3791.04000000 2.16936470 5
3791.07000000 4.09932568 5
3791.10000000 -2.89379044 5
3791.13000000 2.95194603 5
3791.16000000 -6.34158618 5
3791.19000000 4.40818942 5
3791.22000000 6.88715514 5
3791.25000000 -9.06670807 5
3791.28000000 -6.72434075 5
3791.31000000 3.76936082 5
3791.34000000 10.75441074 5
3791.37000000 6.92887707 5
3791.40000000 -6.11924207 5
3791.43000000 -1.53533291 5
3791.46000000 6.12157854 5
3791.49000000 6.26376850 5
3791.52000000 -3.16883701 5
3791.55000000 -15.14866339 5
3791.58000000 -2.76099697 5
3791.61000000 -5.49494634 5
3791.64000000 -9.49916813 5
3791.67000000 -2.89444428 5
3791.70000000 5.54230488 5
3791.73000000 0.00123430 5
3791.76000000 -1.12692480 5
3791.79000000 -1.54105229 5
3791.82000000 -6.99221658 5
3791.85000000 7.61908123 5
3791.88000000 3.16013612 5
3791.91000000 -3.13879026 5
3791.94000000 -4.49238274 5
3791.97000000 -5.69736688 5
3792.00000000 -4.73927923 5
3792.03000000 -1.06626834 5
3792.06000000 -3.26742833 5
3792.09000000 -10.52075817 5
3792.12000000 -3.04278353 5
3792.15000000 -4.04990828 5
3792.18000000 -1.24282568 5
3792.21000000 1.63765478 5
3792.24000000 -2.34912449 5
3792.27000000 -8.07428692 5
3792.30000000 -1.06360415 5
3792.33000000 -3.16683582 5
3792.36000000 -12.39996339 5
3792.39000000 -8.19459491 5
3792.42000000 -3.00708507 5
3792.45000000 0.65866869 5
3792.48000000 2.75466734 5
3792.51000000 1.46133862 5
3792.54000000 -8.62435405 5
3792.57000000 -1.27194423 5
3792.60000000 -4.50453144 5
3792.63000000 -7.59607233 5
3792.66000000 3.81701607 5
3792.69000000 5.67979391 5
3792.72000000 -2.06441721 5
3792.75000000 -6.03501573 5
3792.78000000 -3.80659863 5
3792.81000000 -1.80055877 5
3792.84000000 -4.12994241 5
3792.87000000 -3.03953606 5
3792.90000000 -2.72235830 5
3792.93000000 -3.19369893 5
3792.96000000 3.53939205 5
3792.99000000 -2.24660831 5
3793.02000000 0.59623883 5
3793.05000000 4.63888049 5
3793.08000000 0.73727876 5
3793.11000000 2.86205537 5
3793.14000000 -5.68673743 5
3793.17000000 -2.85493077 5
3793.20000000 6.66211482 5
3793.23000000 4.62448949 5
3793.26000000 4.82525752 5
3793.29000000 0.61070323 5
3793.32000000 1.73334993 5
3793.35000000 7.18754021 5
3793.38000000 2.04419747 5
3793.41000000 -0.65731748 5
3793.44000000 2.93221812 5
3793.47000000 6.71589413 5
3793.50000000 5.97423155 5
3793.53000000 5.94704352 5
3793.56000000 5.76714101 5
3793.59000000 3.44375366 5
3793.62000000 3.10477905 5
3793.65000000 8.62365996 5
3793.68000000 7.69615468 5
3793.71000000 -0.35941392 5
3793.74000000 -1.84742520 5
3793.77000000 1.54769604 5
3793.80000000 -5.09374788 5
3793.83000000 0.03386644 5
3793.86000000 -1.31537004 5
3793.89000000 -3.69486454 5
3793.92000000 -2.62196276 5
3793.95000000 -3.28332622 5
3793.98000000 1.30558727 5
3794.01000000 0.61678203 5
3794.04000000 0.80835639 5
3794.07000000 8.06008041 5
3794.10000000 6.27920735 5
3794.13000000 -0.35387042 5
3794.16000000 -3.31257098 5
3794.19000000 -2.82798566 5
3794.22000000 -4.38135106 5
3794.25000000 -3.08040222 5
3794.28000000 0.23384440 5
3794.31000000 2.54011227 5
3794.34000000 2.11334085 5
3794.37000000 -0.39111382 5
3794.40000000 1.64570421 5
3794.43000000 3.68504820 5
3794.46000000 0.75653557 5
3794.49000000 -5.88413807 5
3794.52000000 -0.50603351 5
3794.55000000 3.44395573 5
3794.58000000 3.56542101 5
3794.61000000 1.84596183 5
3794.64000000 1.62871092 5
3794.67000000 1.74527674 5
3794.70000000 6.51450735 5
3794.73000000 4.51589491 5
3794.76000000 -1.10473734 5
3794.79000000 3.50910185 5
3794.82000000 0.79262382 5
3794.85000000 -3.49216099 5
3794.88000000 -3.93474899 5
3794.91000000 -0.34753115 5
3794.94000000 -0.37304175 5
3794.97000000 -5.42574691 5
3795.00000000 -4.68481964 5
3795.03000000 -1.61463356 5
3795.06000000 -1.71161023 5
3795.09000000 -3.08298689 5
3795.12000000 -3.14344005 5
3795.15000000 -0.88916010 5
3795.18000000 -0.37838199 5
3795.21000000 -4.94165991 5
3795.24000000 0.90764242 5
3795.27000000 2.54459805 5
3795.30000000 3.27546040 5
3795.33000000 3.71694294 5
3795.36000000 1.00092866 5
3795.39000000 -2.64280248 5
3795.42000000 -0.01371837 5
3795.45000000 2.76535871 5
3795.48000000 2.39203861 5
